codDP,nmDP,enderecoDP
1,001ª DP - Praça Mauá,Atendendo provisoriamente na sede da 4ª DP - Praça da República
4,004ª DP - Praça da República,"Av. Presidente Vargas, 1100 - Centro, Rio de Janeiro - RJ, 20071-002"
5,005ª DP - Mem de Sá,"Avenida Gomes Freire, 320 - Centro, Rio de Janeiro - RJ, 20231-013"
6,006ª DP - Cidade Nova,"Rua Professor Clementino Fraga, 77 - Centro, Rio de Janeiro - RJ, 20230-250"
7,007ª DP - Santa Teresa,"Rua Francisco de Castro, 5 - Santa Teresa, Rio de Janeiro - RJ, 20241-300"
9,009ª DP - Catete,"Rua Pedro Américo, 1 - Catete, Rio de Janeiro - RJ, 22211-200"
10,010ª DP - Botafogo,"Rua Bambina, 140 - Botafogo, Rio de Janeiro - RJ, 22251-050"
11,011ª DP - Rocinha,"Rua Bertha Lutz, 80 - Gávea, Rio de Janeiro - RJ, 22450-290"
12,012ª DP - Copacabana,"Rua Hilário de Gouveia, 102 - Copacabana, Rio de Janeiro - RJ, 22040-020"
13,013ª DP - Ipanema,"Avenida Nossa Senhora de Copacabana, 1260 - Copacabana, Rio de Janeiro - RJ, 22070-012"
14,014ª DP - Leblon,"Avenida Humberto de Campos, 315 - Leblon, Rio de Janeiro - RJ, 22430-190"
15,015ª DP - Gávea,"Rua Major Rubens Vaz, 170 - Gávea, Rio de Janeiro - RJ, 22470-070"
16,016ª DP - Barra da Tijuca,"Praça Desembargador Araújo Jorge, s/n - Barra da Tijuca, Rio de Janeiro - RJ, 22611-220"
17,017ª DP - São Cristóvão,"Rua São Cristóvão, 309 - São Cristóvão, Rio de Janeiro - RJ, 20940-001"
18,018ª DP - Praça da Bandeira,"Rua Barão de Iguatemi, 331 - Praca da Bandeira, Rio de Janeiro - RJ, 20270-060"
19,019ª DP - Tijuca,"Rua General Espírito Santo Cardoso, 208 - Tijuca, Rio de Janeiro - RJ, 20530-500"
20,020ª DP - Vila Isabel,"Rua Luiz de Matos, 20 - Vila Isabel, Rio de Janeiro - RJ, 20550-190"
21,021ª DP - Bonsucesso,"Avenida dos Democráticos, 1322 - Bonsucesso, Rio de Janeiro - RJ, 21050-144"
22,022ª DP - Penha,"Avenida Lobo Junior, 750 - Penha Circular, Rio de Janeiro - RJ, 21020-125"
23,023ª DP - Méier,"Rua Aristides Caire, 80 - Meier, Rio de Janeiro - RJ, 20775-090"
24,024ª DP - Piedade,"Rua Goiás, 404 - Engenho de Dentro, Rio de Janeiro - RJ, 20756-120"
25,025ª DP - Engenho Novo,"Rua General Belford, 123 - Rocha, Rio de Janeiro - RJ, 20961-000"
26,026ª DP - Todos os Santos,"Rua Adriano, 304 - Todos os Santos, Rio de Janeiro - RJ, 20735-060"
27,027ª DP - Vicente de Carvalho,"Rua Ana Frank, s/n - Vila da Penha, Rio de Janeiro - RJ, 21210-040"
28,028ª DP - Praça Seca,"Rua Candido Benício, 727 - Praça Seca, Rio de Janeiro - RJ, 21320-063"
29,029ª DP - Madureira,"Estrada do Portela, 391 - Turiaçu, Rio de Janeiro - RJ, 21351-245"
30,030ª DP - Marechal Hermes,"Rua Xavier Curado, 1707 - Marechal Hermes, Rio de Janeiro - RJ, 21610-330"
31,031ª DP - Ricardo de Albuquerque,"Rua Marechal Alencastro, 2731 - Parque Anchieta, Rio de Janeiro - RJ, 21615-340"
32,032ª DP - Taquara,"Rua Professora Francisca Piragibe, 80 - Taquara, Rio de Janeiro - RJ, 22710-195"
33,033ª DP - Realengo,"Avenida Marechal Fontenelle, s/n - Jardim Sulacap, Rio de Janeiro - RJ, 21740-001"
34,034ª DP - Bangu,"Rua Sabogi, 51 - Bangu, Rio de Janeiro - RJ, 21870-140"
35,035ª DP - Campo Grande,"Avenida Maria Teresa, 8 - Campo Grande, Rio de Janeiro - RJ, 23045-830"
36,036ª DP - Santa Cruz,"Rua Dom João VI, 1 - Santa Cruz, Rio de Janeiro - RJ, 23570-230"
37,037ª DP - Ilha do Governador,"Estrada do Galeão, 1365 - Ilha do Governador, Rio de Janeiro - RJ, 21931-242"
38,038ª DP - Brás de Pina,"Rua Tenente Matheus Levino dos Santos, 28 - Vista Alegre, Rio de Janeiro - RJ, 21235-630"
39,039ª DP - Pavuna,"Rua Mercúrio, s/n - Pavuna, Rio de Janeiro - RJ, 21532-470"
40,040ª DP - Honório Gurgel,"Rua Guarama, 15 - Rocha Miranda, Rio de Janeiro - RJ, 21510-230"
41,041ª DP - Tanque,"Rua Henriqueta, 68 - Tanque, Rio de Janeiro - RJ, 22735-130"
42,042ª DP - Recreio dos Bandeirantes,"Avenida Teotônio Vilela, s/nº - Recreio dos Bandeirantes, Rio de Janeiro - RJ, 22795-265"
43,043ª DP - Guaratiba,"Estrada do Piai, 1129 - Guaratiba, Rio de Janeiro - RJ, 23028-050"
44,044ª DP - Inhaúma,"Avenida Pastor Martin Luther King, s/nº - Inhauma, Rio de Janeiro - RJ, 20765-110"
48,048ª DP - Seropédica,"Rua Emília dos Santos, quadra 23 - Campo Lindo, Seropédica - RJ, 23890-000"
50,050ª DP - Itaguaí,"Rua General Bocaiúva, 410 - Centro, Itaguaí - RJ, 23815-310"
51,051ª DP - Paracambi,"Estrada RJ 127, s/n - KM 11153 - Ramalho, Paracambi - RJ, 26600-000"
52,052ª DP - Nova Iguaçu,"Avenida Governador Amaral Peixoto, 950 - Centro, Nova Iguaçu - RJ, 26210-070"
53,053ª DP - Mesquita,"Avenida Presidente Costa e Silva, 1289 - Centro, Mesquita - RJ, 26553-295"
54,054ª DP - Belford Roxo,"Avenida Retiro da Imprensa, 800 - Heliópolis, Belford Roxo - RJ, 26112-180"
55,055ª DP - Queimados,"Rua Manuel Augusto Muguet, 90 - Queimados, RJ, 26325-260"
56,056ª DP - Comendador Soares,"Rua Tomás da Fonseca, 399 - Comendador Soares, Nova Iguaçu - RJ, 26280-375"
57,057ª DP - Nilópolis,"Estrada do Expedicionário, 84 - Centro, Nilópolis - RJ, 26540-022"
58,058ª DP - Posse,"Avenida Henrique Duque Estrada Meyer, 149 - Posse, Nova Iguaçu - RJ, 26030-380"
59,059ª DP - Duque de Caxias,"Rua Ailton Costa, s/n - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25071-160"
60,060ª DP - Campos Elíseos,"Rua Doutor Manoel Alves, s/n - Centro, Campos Elíseos, Duque de Caxias - RJ"
61,061ª DP - Xerém,"Rua Maranhão, 5 - Xerém, Duque de Caxias - RJ, 25250-410"
